"","cytof","linear_aic","quadratic_aic","pval","a","b","class","pattern"
"269","CD8Tcm_MAPKAPK2_IL246",-752.389767793368,-754.16548258341,0.151445072916482,-0.000175909111281745,0.0112758520770271,"quadratic","deceleration/increase"
"270","CD8Tcm_MAPKAPK2_unstim",-652.178612069452,-652.642393907179,0.0438289336095182,-0.000198887135219019,0.0119069714083088,"quadratic","deceleration/increase"
"271","CD8Tcm_NFkB_IFNa",-473.816547946721,-472.119341966994,0.245317986612985,-0.000126807961104073,0.00718361315429526,"linear","linear"
"272","CD8Tcm_NFkB_IL246",-503.282902650992,-501.283316397348,0.15568432238347,4.2511054640006e-06,-0.00139784628631263,"linear","linear"
"273","CD8Tcm_NFkB_unstim",-224.934925187384,-223.979055025953,0.0332039784895545,-0.000539146738391294,0.0305695630332772,"linear","linear"
"274","CD8Tcm_p38_IFNa",-533.616311223399,-536.804305725061,0.0753797224973011,-0.000426558266172178,0.0277805686210164,"quadratic","deceleration/increase"
"275","CD8Tcm_p38_unstim",-980.614390505779,-978.665224345421,0.309652825416236,-9.59768843209941e-06,0.00045692244769456,"linear","linear"
"276","CD8Tcm_S6_IFNa",-634.669749581986,-632.808997785475,0.777587235191711,-5.03184393531636e-05,0.00339610478084084,"linear","linear"
"277","CD8Tcm_S6_IL246",-626.679998487747,-625.908710305367,0.585865575044468,0.000153227158758152,-0.0101887942724727,"linear","linear"
"278","CD8Tcm_S6_unstim",-163.863162225232,-161.951821352902,0.538297190431618,0.000192882597272714,-0.0109622535552599,"linear","linear"
"279","CD8Tcm_STAT1_IFNa",16.4476243848699,6.72954876694449,5.54015418524853e-12,-0.00396756110541955,0.286874898842583,"quadratic","deceleration/increase"
"280","CD8Tcm_STAT1_unstim",-465.097518458911,-463.148352298553,0.309652825416236,-5.35123171574723e-05,0.00254759040266651,"linear","linear"
"281","CD8Tcm_STAT3_IFNa",104.525584057301,98.157752182588,0.00106028773073141,-0.00452174205831835,0.306441872999966,"quadratic","deceleration/increase"
"282","CD8Tcm_STAT3_IL246",179.827571646901,181.348353970605,0.290702863266215,-0.00140915388972126,0.0992166928355469,"linear","linear"
